Unnamed: 0,Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys,log_rho
2216,J1151+5437_309_955,0.186992228031158,3085.476021693819,955.4540688849468,177.47653333333332,54.791648888888886,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6761546270.683671,,,,0.18885,3.4893221757102095
2217,J1151+5437_266_956,0.051050145179033,984.539543645064,956.1558341257492,177.37754166666667,54.6085625,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,948324243.9150571,,,,0.050755,2.9932331640921723
2218,J1151+5437_275_965,0.283903747797012,4264.265089262764,964.6329315116266,177.37370833333333,54.64685833333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,246760189.64315408,,,,0.281512,3.629844194898795
2219,J1151+5437_287_965,0.273270010948181,4150.409666394877,964.6390919778096,177.391575320837,54.7029965683835,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,hit,miss,miss,42771636818.39246,,,,0.27251,3.61809096588651
2220,J1151+5437_51_965,0.420590162277221,5506.563090655472,964.8953467790674,178.1978,54.79309833333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,61357329196.93573,,,,0.419375,3.7408806194548037
2221,J1151+5437_142_966,0.414855003356933,5466.174388394651,965.6429313436084,178.11962083333333,54.414409722222224,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,14145227978.240677,,,,0.41425,3.7376834829566024
2222,J1151+5437_139_966,0.416974008083343,5484.564278463601,965.9638808981967,178.13804583333334,54.42307666666667,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,12752818562.248486,,,,0.419375,3.7391421307301544
2223,J1151+5437_15_967,0.064998678863048,1246.468166808048,966.6025577633804,177.953104605955,54.8856014162915,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,15330247687.504057,,,,0.065197,3.0956811916595752
2224,J1151+5437_334_969,0.182426005601882,3068.447892990218,969.0917092842705,177.62862500000003,54.86718361111111,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,14357996146.958986,,,,0.181682,3.486918752687912
2225,J1151+5437_336_971,0.352729678153991,4969.335341324529,970.8261537602108,177.64108750000003,54.871139444444445,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4666950060.339214,,,,0.352261,3.6962983048503313
2226,J1151+5437_158_973,0.162325993180274,2802.3011159994417,972.7557914025232,178.00588333333334,54.37446583333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,12425916157.364473,,,,0.16101,3.447514799754443
2227,J1151+5437_35_976,0.218330472707748,3554.912549996258,975.5010411610988,178.10424166666667,54.84791555555556,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,3972373281.3509884,,,,0.21881,3.5508289216561644
2228,J1151+5437_235_976,0.300736010074615,4489.477892878221,975.6192720303108,177.4510875,54.47160333333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,3398763629.6650715,,,,0.300736,3.6521958373448897
2229,J1151+5437_159_976,0.317869246006011,4664.807356309763,976.124896813228,178.00329166666668,54.37287527777778,Planck15,2021-Mar-28,jnburchett,hit,hit,miss,miss,miss,miss,8654197102.166471,,,,0.318896,3.668833713287413
2230,J1151+5437_349_980,0.129554510116577,2338.8749492205075,980.498910051224,177.74404166666667,54.89308166666667,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6192839527.06991,,,,0.13135,3.36900700234985
2231,J1151+5437_262_981,0.342518597841262,4925.343309789811,980.7635347438732,177.36941666666667,54.58811555555556,Planck15,2021-Mar-28,jnburchett,hit,hit,miss,miss,miss,miss,10314151953.302467,,,,0.343037,3.6924365073921943
2232,J1151+5437_338_982,0.143755540251731,2559.1200935270654,982.4780370467504,177.65757916666666,54.87876888888889,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,148409.28402218205,,,,0.1425,3.408090666790788
2233,J1151+5437_224_983,0.435623794794082,5723.615069454639,982.5498512372316,177.510112109603,54.428654678259,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,884032155.3779253,,,,0.432875,3.757670418443243
2234,J1151+5437_14_985,0.421654403209686,5628.669528183307,984.8223236638984,177.947898641196,54.8915837894352,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,15330247687.504057,,,,0.419375,3.7504057510052755
2235,J1151+5437_342_986,0.226331114768981,3693.6937989198914,986.2073346588978,177.69003750000002,54.88666916666666,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,hit,hit,miss,2863154314.5588827,,,,0.225085,3.5674608903052887
2236,J1151+5437_129_986,0.338193356990814,4912.739735865564,986.4363825322994,178.20179166666668,54.45303722222223,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,5509413620.69829,,,,0.338193,3.6913237569556197
2237,J1151+5437_273_987,0.226177960634231,3693.816352964691,986.7456128417168,177.362364999345,54.6402756782777,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,hit,miss,miss,880150079.1935123,,,,0.225085,3.567475299637879
2238,J1151+5437_37_988,0.456414639949798,5909.99256009386,987.90341897315,178.124954208736,54.8434091047292,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,970212951.9188521,,,,0.45804,3.77158693416176
2239,J1151+5437_283_989,0.227543130517005,3720.009591313352,989.2290372114992,177.37283749999995,54.68873222222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6159509358.3893585,,,,0.227543,3.570544059626277
2240,J1151+5437_68_991,0.248335763812065,3978.213519694937,991.0599354234369,178.27879583333333,54.72595222222223,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6408818278.23762,,,,0.252298,3.5996880889786427
2241,J1151+5437_269_994,0.228108718991279,3745.174836768696,994.0545845228912,177.35841666666667,54.62026222222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4801660604.844173,,,,0.228109,3.57347209676753
2242,J1151+5437_143_996,0.065283142030239,1290.01345099014,996.3460512845415,178.1230416666667,54.40519333333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,218509087.55384675,,,,0.065197,3.110594238718116
2243,J1151+5437_275_997,0.065784484148025,1299.785027158271,996.831728978929,177.35850416666668,54.64908972222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,880150079.1935123,,,,0.065197,3.113871529815239
